company_name,primary_domain,info_url_1,info_url_1_source_type,info_url_2,info_url_2_source_type,sentiment_url_1,sentiment_url_1_source_type,sentiment_url_2,sentiment_url_2_source_type,notes
Bolna AI,bolna.ai,https://www.ycombinator.com/companies/bolna-ai,other,,,,,,,Official domain identified from the YC company profile. No substantive own-site about page found; used the YC company profile. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Truffle AI,trytruffle.ai,https://www.ycombinator.com/companies/truffle-ai,other,,,,,,,Official domain identified from the YC company profile. No substantive own-site about page found; used the YC company profile. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
SureBright,surebright.com,https://www.surebright.com/aboutus,own_about_page,,,,,,,Official domain identified from the YC company profile. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Infinity,infinityapp.in,https://www.infinityapp.in/about-us,own_about_page,https://www.ycombinator.com/companies/infinity,other,,,,,Official domain identified from the YC company profile. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Heysol,getcore.me,https://www.ycombinator.com/companies/heysol,other,,,,,,,Official domain identified from the YC company profile. No substantive own-site about page found; used the YC company profile. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Clickpe,clickpe.ai,https://clickpe.ai/about-us,own_about_page,https://www.ycombinator.com/companies/clickpe,other,,,,,Official domain identified from the YC company profile. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
SuperAPI,trysuperapi.com,https://www.ycombinator.com/companies/superapi,other,,,,,,,Official domain identified from the YC company profile. No substantive own-site about page found; used the YC company profile. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Floworks,floworks.ai,https://www.ycombinator.com/companies/floworks,other,,,,,,,Official domain identified from the YC company profile. No substantive own-site about page found; used the YC company profile. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Clueso,clueso.io,https://www.ycombinator.com/companies/clueso,other,,,,,,,Official domain identified from the YC company profile. No substantive own-site about page found; used the YC company profile. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Retape,retape.ai,https://retape.ai/about,own_about_page,https://www.ycombinator.com/companies/retape,other,,,,,Official domain identified from the YC company profile. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
DrDroid,drdroid.io,https://drdroid.io/about-us,own_about_page,https://www.ycombinator.com/companies/drdroid,other,,,,,Official domain identified from the YC company profile. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Gullak Money,gullak.money,https://gullak.money/about/,own_about_page,https://www.ycombinator.com/companies/gullak-money,other,,,,,Official domain identified from the YC company profile. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Coupl,coupl.money,https://coupl.money/about-us,own_about_page,https://www.ycombinator.com/companies/coupl,other,,,,,Official domain identified from the YC company profile. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
AlgoTest,algotest.in,https://www.ycombinator.com/companies/algotest,other,,,,,,,Official domain identified from the YC company profile. No substantive own-site about page found; used the YC company profile. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Slidely AI,slidely.ai,https://www.ycombinator.com/companies/slidely-ai,other,,,,,,,Official domain identified from the YC company profile. No substantive own-site about page found; used the YC company profile. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Flatx,flatx.co,https://www.flatx.co/about,own_about_page,https://www.ycombinator.com/companies/flatx,other,,,,,Official domain identified from the YC company profile. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Raven,startraven.com,https://startraven.com/about-us,own_about_page,https://en.wikipedia.org/wiki/That's_So_Raven,wikipedia,,,,,Official domain identified from the YC company profile. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Maya Labs,mayalabs.io,https://www.ycombinator.com/companies/maya-labs,other,,,,,,,Official domain identified from the YC company profile. No substantive own-site about page found; used the YC company profile. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Compup,compup.io,https://www.compup.io/about-us,own_about_page,https://www.ycombinator.com/companies/compup,other,,,,,Official domain identified from the YC company profile. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Landeed,landeed.com,https://www.landeed.com/about,own_about_page,https://www.ycombinator.com/companies/landeed,other,,,,,Official domain identified from the YC company profile. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
100x,100x.bot,https://www.ycombinator.com/companies/100x,other,,,,,,,Official domain identified from the YC company profile. No substantive own-site about page found; used the YC company profile. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Peoplebox,peoplebox.ai,https://www.peoplebox.ai/blog/company-culture-words/,own_about_page,https://www.ycombinator.com/companies/peoplebox,other,,,,,Official domain identified from the YC company profile. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Clinikally,clinikally.com,https://www.ycombinator.com/companies/clinikally,other,,,,,,,Official domain identified from the YC company profile. No substantive own-site about page found; used the YC company profile. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Flux Auto,fluxauto.ai,https://fluxauto.ai/who-we-are,own_about_page,https://www.ycombinator.com/companies/flux-auto,other,,,,,Official domain identified from the YC company profile. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Apollo,apollofirst.xyz,https://www.ycombinator.com/companies/apollo-3,other,,,,,,,Official domain identified from the YC company profile. Used the YC company profile as the information source. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Salt,salt.pe,https://www.ycombinator.com/companies/salt,other,,,,,,,Official domain identified from the YC company profile. No substantive own-site about page found; used the YC company profile. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Kaagaz,kaagaz.app,https://www.ycombinator.com/companies/kaagaz,other,,,,,,,Official domain identified from the YC company profile. No substantive own-site about page found; used the YC company profile. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Spadeworks,spadeworks.co,https://www.ycombinator.com/companies/spadeworks,other,,,,,,,Official domain identified from the YC company profile. No substantive own-site about page found; used the YC company profile. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Wipro,wipro.com,https://www.wipro.com/about-us/,own_about_page,https://en.wikipedia.org/wiki/Wipro,wikipedia,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
HCLTech,hcltech.com,https://www.hcltech.com/about-us,own_about_page,https://en.wikipedia.org/wiki/HCLTech,wikipedia,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Tech Mahindra,techmahindra.com,https://www.techmahindra.com/about-us/,own_about_page,https://en.wikipedia.org/wiki/Tech_Mahindra,wikipedia,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Reliance Industries,ril.com,https://www.ril.com/about,own_about_page,,,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Bharti Airtel,airtel.in,https://en.wikipedia.org/wiki/Bharti_Airtel,wikipedia,,,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Used the populated Wikipedia company profile as the information source. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
ICICI Bank,icicibank.com,https://www.icici.bank.in/about-us,own_about_page,https://en.wikipedia.org/wiki/ICICI_Bank,wikipedia,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
HDFC Bank,hdfcbank.com,https://www.hdfc.bank.in/about-us,own_about_page,https://en.wikipedia.org/wiki/HDFC_Bank,wikipedia,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Axis Bank,axisbank.com,https://www.axis.bank.in/about-us,own_about_page,https://en.wikipedia.org/wiki/Axis_Bank,wikipedia,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
State Bank of India,sbi.co.in,https://en.wikipedia.org/wiki/State_Bank_of_India,wikipedia,,,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Used the populated Wikipedia company profile as the information source. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Larsen & Toubro,larsentoubro.com,https://en.wikipedia.org/wiki/Larsen_&_Toubro,wikipedia,,,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Used the populated Wikipedia company profile as the information source. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
ITC,itcportal.com,https://en.wikipedia.org/wiki/ITC_Limited,wikipedia,,,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Used the populated Wikipedia company profile as the information source. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Asian Paints,asianpaints.com,https://en.wikipedia.org/wiki/Asian_Paints,wikipedia,,,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Used the populated Wikipedia company profile as the information source. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Maruti Suzuki India,marutisuzuki.com,https://en.wikipedia.org/wiki/Maruti_Suzuki,wikipedia,,,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Used the populated Wikipedia company profile as the information source. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Mahindra & Mahindra,mahindra.com,https://www.mahindra.com/about-us,own_about_page,,,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Bajaj Auto,bajajauto.com,https://www.bajajauto.com/,own_about_page,https://en.wikipedia.org/wiki/Bajaj_Auto,wikipedia,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Titan Company,titancompany.in,https://www.titancompany.in/about-us,own_about_page,https://en.wikipedia.org/wiki/Titan_Company,wikipedia,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Dr. Reddy's Laboratories,drreddys.com,https://www.drreddys.com/about-us,own_about_page,,,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Cipla,cipla.com,https://en.wikipedia.org/wiki/Cipla,wikipedia,,,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Used the populated Wikipedia company profile as the information source. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Britannia Industries,britannia.co.in,https://www.britannia.co.in/about-us,own_about_page,,,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Zomato,zomato.com,https://www.eternal.com/our-businesses/zomato/,own_about_page,,,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
PhonePe,phonepe.com,https://www.phonepe.com/about-us/,own_about_page,https://en.wikipedia.org/wiki/PhonePe,wikipedia,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Paytm,paytm.com,https://paytm.com/about-us,own_about_page,https://en.wikipedia.org/wiki/Paytm,wikipedia,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Lenskart,lenskart.com,https://www.lenskart.com/aboutus,own_about_page,https://en.wikipedia.org/wiki/Lenskart,wikipedia,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Ola Electric,olaelectric.com,https://www.olaelectric.com/about,own_about_page,,,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Ola,olacabs.com,https://www.olacabs.com/about,own_about_page,,,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
InMobi,inmobi.com,https://advertising.inmobi.com/company,own_about_page,https://en.wikipedia.org/wiki/InMobi,wikipedia,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Udaan,udaan.com,https://udaan.com/about-us,own_about_page,,,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Unacademy,unacademy.com,https://unacademy.com/about,own_about_page,https://en.wikipedia.org/wiki/Unacademy,wikipedia,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Urban Company,urbancompany.com,https://en.wikipedia.org/wiki/Urban_Company,wikipedia,,,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Used the populated Wikipedia company profile as the information source. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Practo,practo.com,https://www.practo.com/company/about,own_about_page,,,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
FirstCry,firstcry.com,https://www.firstcry.com/,own_about_page,https://en.wikipedia.org/wiki/FirstCry,wikipedia,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Dream11,dream11.com,https://www.dream11.com/,own_about_page,https://en.wikipedia.org/wiki/Dream11,wikipedia,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
CRED,cred.club,https://cred.club/about,own_about_page,https://en.wikipedia.org/wiki/Cred_(company),wikipedia,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Rapido,rapido.bike,https://en.wikipedia.org/wiki/Rapido_(company),wikipedia,,,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Used the populated Wikipedia company profile as the information source. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Ninjacart,ninjacart.com,https://ninjacart.com/about-us/,own_about_page,,,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Delhivery,delhivery.com,https://en.wikipedia.org/wiki/Delhivery,wikipedia,,,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Used the populated Wikipedia company profile as the information source. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Moglix,moglix.com,https://www.moglix.com/about,own_about_page,https://en.wikipedia.org/wiki/Moglix,wikipedia,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
OfBusiness,ofbusiness.com,https://www.ofbusiness.com/about,own_about_page,,,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
ShareChat,sharechat.com,https://sharechat.com/about/company,own_about_page,https://en.wikipedia.org/wiki/ShareChat,wikipedia,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Dailyhunt,dailyhunt.in,https://m.dailyhunt.in/news/india/english/about-us,own_about_page,,,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Glance,glance.com,https://glance.com/row/about-us,own_about_page,,,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
MobiKwik,mobikwik.com,https://en.wikipedia.org/wiki/MobiKwik,wikipedia,,,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Used the populated Wikipedia company profile as the information source. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
BharatPe,bharatpe.com,https://bharatpe.com/about,own_about_page,https://en.wikipedia.org/wiki/BharatPe,wikipedia,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Acko,acko.com,https://www.acko.com/about-us/,own_about_page,,,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Tata Motors,tatamotors.com,https://www.tatamotors.com/organisation/about-us/,own_about_page,https://en.wikipedia.org/wiki/Tata_Motors,wikipedia,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Tata Steel,tatasteel.com,https://en.wikipedia.org/wiki/Tata_Steel,wikipedia,,,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Used the populated Wikipedia company profile as the information source. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Tata Power,tatapower.com,https://www.tatapower.com/our-legacy,own_about_page,https://en.wikipedia.org/wiki/Tata_Power,wikipedia,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Tata Consumer Products,tataconsumer.com,https://www.tataconsumer.com/about,own_about_page,https://en.wikipedia.org/wiki/Tata_Consumer_Products,wikipedia,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Tata Chemicals,tatachemicals.com,https://www.tatachemicals.com/about,own_about_page,https://en.wikipedia.org/wiki/Tata_Chemicals,wikipedia,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Tata Communications,tatacommunications.com,https://www.tatacommunications.com/about,own_about_page,https://en.wikipedia.org/wiki/Tata_Communications,wikipedia,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Tata Elxsi,tataelxsi.com,https://www.tataelxsi.com/about-us,own_about_page,https://en.wikipedia.org/wiki/Tata_Group,wikipedia,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Tata Technologies,tatatechnologies.com,https://www.tatatechnologies.com/en/about-us/,own_about_page,https://en.wikipedia.org/wiki/Tata_Technologies,wikipedia,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Indian Hotels Company,ihcl.com,https://ihcl.com/about/,own_about_page,https://en.wikipedia.org/wiki/Indian_Hotels_Company_Limited,wikipedia,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Trent,trentlimited.com,https://en.wikipedia.org/wiki/Trent_Limited,wikipedia,,,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Used the populated Wikipedia company profile as the information source. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
Voltas,voltas.com,https://www.voltas.com/pages/about-voltas,own_about_page,https://en.wikipedia.org/wiki/Voltas,wikipedia,,,,,Official domain supplied from a curated Indian-company candidate list and verified live. Substantive own-site company/about page was found. No company-specific sentiment URL was verified; left sentiment blank rather than padding with a generic search link.
