creator_name,creator_identity,creator_profile_url,business_name,creator_business_role,business_sector,business_domain,business_info_url,relationship_evidence_url,evidence_source_type,verification_status,notes
Pranjal Kamra,"Finance and investing YouTuber, educator, and entrepreneur",https://www.youtube.com/pranjalkamra,Finology,Founder,Financial education and investment tools,finology.in,https://www.finology.in/,https://www.finology.in/team,official business site,Source-reviewed; business and evidence URLs returned HTTP 200,Finology’s official team page names Pranjal Kamra as Founder and lists its finance and investment products. Business URL HTTP check: 200. Relationship-evidence URL HTTP check: 200.
Prafull Billore,MBA Chai Wala; entrepreneur and business creator,https://www.instagram.com/itsmeprafullbillore/,MBA Chai Wala,Founder and managing director,"Cafes, food service, and franchising",mbachaiwala.com,https://www.mbachaiwala.com/,https://www.indiatoday.in/trending-news/story/mba-chai-wala-prafull-billore-shuts-down-death-rumours-after-fake-report-surfaces-2939529-2026-07-03,official business site + reputable media,Source-reviewed in browser/search; automated HTTP check was non-200 or unavailable,The official site describes the active cafe chain and franchise model; India Today identifies Prafull Billore as founder of MBA Chai Wala. Business URL HTTP check: 500. Relationship-evidence URL HTTP check: 200.
Aman Dhattarwal,Education YouTuber and entrepreneur,https://www.youtube.com/@AmanDhattarwal,Apna College,Co-founder,Coding and placement education,apnacollege.in,https://www.apnacollege.in/,https://in.linkedin.com/in/dhattarwalaman,official business site + professional profile,Source-reviewed; business and evidence URLs returned HTTP 200,The official platform is active and links Aman Dhattarwal’s creator accounts; his professional profile identifies him with Apna College. Business URL HTTP check: 200. Relationship-evidence URL HTTP check: 200.
Shradha Khapra,Apna College; coding educator and YouTube creator,https://www.youtube.com/@ApnaCollegeOfficial,Apna College,Co-founder,Coding and placement education,apnacollege.in,https://www.apnacollege.in/,https://www.apnacollege.in/course/placement-course-java,official business site + professional profile,Source-reviewed; business and evidence URLs returned HTTP 200,The official platform is active; the official placement-course page identifies Shradha Khapra as Co-founder of Apna College. Business URL HTTP check: 200. Relationship-evidence URL HTTP check: 200.
Raj Shamani,"Figuring Out; business podcast host, creator, and entrepreneur",https://www.youtube.com/@rajshamani,House of X,Co-founder,Creator commerce and D2C venture building,houseofx.in,https://houseofx.in/,https://rajshamani.life/ventures,official sites,Source-reviewed; business and evidence URLs returned HTTP 200,Raj Shamani’s official ventures page states that he co-built House of X; the House of X domain describes its creator-led D2C venture model. Business URL HTTP check: 200. Relationship-evidence URL HTTP check: 200.
Gaurav Taneja,Flying Beast; fitness and lifestyle YouTuber,https://www.youtube.com/@FlyingBeast320,BeastLife,Founder,Sports nutrition and fitness products,beastlife.in,https://beastlife.in/pages/about-us,https://beastlife.in/pages/about-us,official business site,Source-reviewed; business and evidence URLs returned HTTP 200,"BeastLife’s official About Us page calls itself a D2C brand inspired by its founder, Gaurav Taneja aka Flying Beast. Business URL HTTP check: 200. Relationship-evidence URL HTTP check: 200."
Dhruv Rathee,"YouTube educator, commentator, and digital creator",https://www.youtube.com/@dhruvrathee,AI Fiesta,Co-founder,Artificial-intelligence software platform,aifiesta.ai,https://aifiesta.ai/,https://finance.yahoo.com/news/indias-top-youtube-creator-dhruv-114300968.html,official business site + business media,Source-reviewed; business and evidence URLs returned HTTP 200,AI Fiesta’s official site is active; Yahoo Finance reported that it was co-founded by Dhruv Rathee with YC-backed founders. Business URL HTTP check: 200. Relationship-evidence URL HTTP check: 200.
Shanice Shrestha,Lifestyle and travel YouTuber and creator,https://www.youtube.com/channel/UCCLzJP8T09kuoy3OGPHNs5g,Shanz & Nikz,Founder,"Ethnic, fusion, and western apparel",shanzandnikz.com,https://shanzandnikz.com/,https://www.forbesindia.com/lists/2023-digital-stars/profile/shanice-shrestha/47,official business site + reputable media,Source-reviewed in browser/search; automated HTTP check was non-200 or unavailable,The official Shanz & Nikz site is active; Forbes India reports that Shanice Shrestha launched the clothing brand. Business URL HTTP check: 444. Relationship-evidence URL HTTP check: 200.
Nikhil Sharma,Mumbiker Nikhil; travel and lifestyle YouTuber,https://www.youtube.com/@MumbikerNikhil,Shanz & Nikz,Co-founder / creator partner,"Ethnic, fusion, and western apparel",shanzandnikz.com,https://shanzandnikz.com/,https://india.entrepreneur.com/lifestyle/tech-burner-mumbiker-nikhil-chef-sanjyot-keer-and-more/469915,official business site + reputable media,Source-reviewed in browser/search; automated HTTP check was non-200 or unavailable,Entrepreneur India reported that Nikhil Sharma and Shanice Shrestha started Shanz and Nikz; the official business site is active. Business URL HTTP check: 444. Relationship-evidence URL HTTP check: 200.
Yashi Tank,Yashi Tank; fashion and lifestyle YouTuber and creator,https://www.youtube.com/@YashiTank,Suyash Fashion,Founder,Fashion and Rajasthan-inspired apparel,yashnira.com,https://yashnira.com/,https://blog.youtube/creator-and-artist-stories/creator-ceos-how-suyash-fashion-is-making-rajasthan-art-an-emerging-trend/,official business site + official YouTube editorial,Source-reviewed; business and evidence URLs returned HTTP 200,YouTube’s official Creator and Artist Stories article identifies Yashi Tank as Founder of Suyash Fashion and describes the creator-built clothing business. Business URL HTTP check: 200. Relationship-evidence URL HTTP check: 200.
Suraj Pal Singh,Suyash Vlogs; fashion and lifestyle YouTuber and creator,https://www.youtube.com/@SuyashVlogs,Suyash Fashion,Co-founder / creator partner,Fashion and Rajasthan-inspired apparel,yashnira.com,https://yashnira.com/,https://blog.youtube/creator-and-artist-stories/creator-ceos-how-suyash-fashion-is-making-rajasthan-art-an-emerging-trend/,official business site + official YouTube editorial,Source-reviewed; business and evidence URLs returned HTTP 200,YouTube’s official article describes Yashi Tank and Suraj Pal Singh as creators who built Suyash Fashion. Business URL HTTP check: 200. Relationship-evidence URL HTTP check: 200.
Sanjyot Keer,"Your Food Lab; chef, food YouTuber, and creator",https://www.youtube.com/@YourFoodLab,Cüraa,Co-founder,Kitchen appliances and cooking products,curaahome.com,https://curaahome.com/,https://curaahome.com/terms-of-use,official business site,Source-reviewed; business and evidence URLs returned HTTP 200,The official Cüraa site and terms identify Chef Sanjyot Keer as founder of Your Food Lab and co-founder of Cüraa. Business URL HTTP check: 200. Relationship-evidence URL HTTP check: 200.
Himadri,DRI by Himadri; fashion and beauty YouTuber and creator,https://www.youtube.com/@dribyhimadri,DRI by HIMADRI,Founder,Women’s fashion and handcrafted apparel,dribyhimadri.com,https://dribyhimadri.com/,https://india.entrepreneur.com/lifestyle/tech-burner-mumbiker-nikhil-chef-sanjyot-keer-and-more/469915,official business site + reputable media,Source-reviewed; business and evidence URLs returned HTTP 200,The official DRI site identifies Himadri as founder; Entrepreneur India documents the creator-founded fashion label. Business URL HTTP check: 200. Relationship-evidence URL HTTP check: 200.
Kunal Kushwaha,"Developer educator, cloud-native advocate and YouTube creator",https://www.youtube.com/@KunalKushwaha,WeMakeDevs,Founder,"Developer community, hackathons and open-source education",wemakedevs.org,https://www.wemakedevs.org/,https://www.wemakedevs.org/,official business site,Source-reviewed; official site identifies founder relationship,WeMakeDevs official homepage identifies Kunal Kushwaha as Founder. Business URL HTTP check: 200. Evidence URL HTTP check: 200.
Raj Vikramaditya,"Striver; software engineer, coding educator and YouTube creator",https://www.youtube.com/channel/UCJskGeByzRRSvmOyZOz61ig,takeUforward,Founder & CEO,"Coding, DSA and interview preparation",takeuforward.org,https://takeuforward.org/,https://takeuforward.org/,official business site,Source-reviewed; official site identifies founder relationship,Official site identifies Raj/Striver as Founder & CEO of takeUforward. Business URL HTTP check: 200. Evidence URL HTTP check: 200.
Krish Naik,AI and data-science educator and YouTube creator,https://www.youtube.com/@krishnaik06,Krish Naik Academy,Founder,"AI, machine learning, data science and generative AI education",krishnaikacademy.com,https://krishnaikacademy.com/,https://krishnaikacademy.com/,official business site,Source-reviewed; official site identifies founder relationship,Official homepage states that Krish Naik founded the academy. Business URL HTTP check: 200. Evidence URL HTTP check: 200.
Alakh Pandey,Physics Wallah; educator and YouTube creator,https://www.youtube.com/@PhysicsWallah,Physics Wallah,Founder & CEO,"School, competitive-exam and professional education",pw.live,https://www.pw.live/about-us,https://www.pw.live/about-us,official business site,Source-reviewed; official site identifies founder relationship,Physics Wallah’s official About page identifies Alakh Pandey as Founder & CEO. Business URL HTTP check: 200. Evidence URL HTTP check: 200.
